Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Faisal Javed (QAT),2019-2019,15,15,0,330,61,22,212,155.66,0,2,1,45,11
SR Thompson (IRE),2014-2019,41,30,8,328,56,14.9,254,129.13,0,1,1,23,14
RJ Nicol (NZ),2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
RR Rossouw (SA),2014-2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12
Aamir Kaleem (OMAN),2015-2019,25,22,4,325,46*,18.05,306,106.2,0,0,4,26,9
LE Bosman (SA),2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
Anshuman Rath (HKG),2015-2017,20,19,2,321,44,18.88,344,93.31,0,0,1,31,2
N Vanua (PNG),2015-2019,25,22,8,321,54,22.92,211,152.13,0,1,4,12,23
TM Head (AUS),2016-2018,16,15,3,319,48*,26.58,245,130.2,0,0,0,19,10
TL Seifert (NZ),2018-2019,19,18,1,316,84,18.58,228,138.59,0,1,2,22,21
Mohammad Rizwan (PAK),2015-2024,107,100,25,3242,104*,43.22,2463,131.63,2,25,2,278,134
Suryakumar Yadav (INDIA),2021-2024,68,61,9,2340,117,45,1558,150.19,4,17,2,246,119
Phil Salt (ENG),2021-2024,35,34,2,1207,87*,37.71,798,151.25,0,9,2,118,49
Travis Head (AUS),2018-2024,44,43,2,1279,106*,31.19,856,149.41,1,8,3,124,56
Finn Allen (NZ),2021-2024,56,55,2,1696,71,32,1217,139.36,0,11,6,165,71
Devon Conway (NZ),2020-2024,36,35,4,1467,99*,47.32,1074,136.59,0,13,1,139,36
Tim David (AUS),2022-2024,34,28,11,729,54,42.88,456,159.87,0,4,1,52,42
Will Jacks (ENG),2022-2024,25,24,2,748,108,34,485,154.33,1,4,2,74,35
Harry Brook (ENG),2022-2024,35,32,6,1038,81*,39.92,693,149.78,0,7,1,95,42
Nicholas Pooran (WI),2016-2024,98,88,25,2228,98,35.36,1565,142.37,0,9,6,178,118
Brandon King (WI),2019-2024,36,36,2,1235,85*,36.32,889,138.92,0,8,2,118,49
Kyle Mayers (WI),2021-2024,31,30,2,1040,73,37.14,747,139.22,0,6,2,95,52
Rovman Powell (WI),2017-2024,69,56,18,1239,107*,32.60,859,144.24,1,4,4,89,70
Shimron Hetmyer (WI),2016-2024,78,69,16,1803,81*,34.01,1297,139.01,0,11,4,154,85
Johnson Charles (WI),2010-2024,45,44,2,1334,118*,31.76,1006,132.60,1,7,3,127,56
Liam Livingstone (ENG),2021-2024,34,31,6,1040,103,41.6,658,158.05,1,4,2,85,46
Marcus Stoinis (AUS),2015-2024,69,58,19,1244,78,31.89,1006,123.66,0,6,2,89,47
Moeen Ali (ENG),2014-2024,92,75,18,1952,72,34.24,1485,131.44,0,11,4,178,64
Dawid Malan (ENG),2017-2024,62,58,8,2021,103*,40.42,1493,135.36,1,17,1,199,34
Alex Hales (ENG),2011-2022,75,72,4,2435,116*,35.80,1776,137.10,1,14,5,264,76
Marnus Labuschagne (AUS),2021-2024,16,15,2,456,72,35.07,389,117.22,0,3,1,42,8
Josh Inglis (AUS),2021-2024,47,42,8,1288,110*,37.88,856,150.46,2,7,2,118,56
Matthew Wade (AUS),2007-2024,97,85,22,1613,80*,25.59,1234,130.71,0,6,5,134,67
Adam Zampa (AUS),2016-2024,79,25,14,178,22*,16.18,156,114.1,0,0,2,12,8
Pat Cummins (AUS),2011-2024,65,32,15,289,56*,17,234,123.5,0,1,3,23,12
Mitchell Starc (AUS),2015-2024,67,29,12,298,57*,17.52,245,121.63,0,1,4,28,15
Josh Hazlewood (AUS),2013-2024,39,15,8,89,18*,12.71,78,114.1,0,0,2,6,4
Glenn Maxwell (AUS),2012-2024,130,111,28,2442,145*,29.42,1736,140.66,4,17,4,199,128
Aiden Markram (SA),2017-2024,67,63,7,1654,106*,29.53,1234,134.03,1,11,4,156,67
Rassie van der Dussen (SA),2019-2024,50,46,12,1456,94*,42.82,1189,122.45,0,8,2,123,45
Temba Bavuma (SA),2019-2024,42,41,4,1134,72,30.64,1023,110.85,0,6,3,98,23
Heinrich Klaasen (SA),2018-2024,65,56,15,1789,81*,43.63,1123,159.30,0,12,3,156,89
Tristan Stubbs (SA),2022-2024,25,22,5,567,72*,33.35,389,145.76,0,3,1,56,23
Reeza Hendricks (SA),2014-2024,79,76,4,2407,85,33.43,1834,131.25,0,15,6,234,78
Kagiso Rabada (SA),2014-2024,74,25,12,234,42*,18,189,123.8,0,0,2,18,12
Anrich Nortje (SA),2019-2024,33,12,7,89,28*,17.8,67,132.83,0,0,1,8,4
Tabraiz Shamsi (SA),2017-2024,52,15,8,123,29*,17.57,98,125.51,0,0,1,9,6
Keshav Maharaj (SA),2017-2024,45,18,9,178,41*,19.77,156,114.1,0,0,1,12,8
